거래일,동,아파트,면적(㎡),층,금액(만원),평당가(만원)
2026.05.22,망포동,영통SKVIEW,84.6,7층,98000,3827.8
2026.05.22,망포동,힐스테이트영통,84.5,12층,127000,4965.5
2026.05.22,매교동,힐스테이트푸르지오수원,84.9,3층,84500,3289.0
2026.05.21,영통동,영통에듀파크(321동~327동),85.0,20층,87700,3411.6
2026.05.21,망포동,망포현대2아이파크,85.0,8층,62500,2430.3
2026.05.20,영통동,신나무실극동,84.9,17층,83300,3242.7
2026.05.20,영통동,영통e-편한세상,85.0,14층,54500,2119.6
2026.05.19,영통동,영통에듀파크(331동~337동),85.0,18층,56000,2178.4
2026.05.19,망포동,영통롯데캐슬엘클래스1단지,85.0,6층,88000,3422.3
2026.05.19,영통동,벽산(1053-2),85.0,10층,54000,2100.6
2026.05.19,영통동,신나무실풍림,84.9,11층,85000,3308.9
2026.05.18,망포동,쌍용스윗닷홈2차,84.9,15층,41500,1615.8
2026.05.18,영통동,벽산(1053-2),85.0,14층,56000,2178.4
2026.05.16,영통동,벽산(1053-2),85.0,20층,50500,1964.5
2026.05.16,망포동,망포마을쌍용1차,84.9,16층,66500,2589.6
2026.05.16,영통동,영통에듀파크(321동~327동),85.0,20층,81500,3170.4
2026.05.16,망포동,영통SKVIEW,84.5,3층,91000,3560.8
2026.05.16,망포동,방죽마을영통뜨란채,84.7,16층,52000,2029.5
2026.05.16,영통동,신나무실신명,84.9,5층,70000,2725.0
2026.05.15,망포동,방죽마을영통뜨란채,84.7,3층,53500,2088.1
2026.05.15,영통동,영통에듀파크(331동~337동),85.0,6층,87200,3392.1
2026.05.15,영통동,영통에듀파크(331동~337동),85.0,14층,83000,3228.8
2026.05.15,매교동,건영캐스빌,82.6,3층,31500,1259.8
2026.05.15,매교동,매교역푸르지오SKVIEW,85.0,8층,95800,3726.2
2026.05.15,매교동,매교역푸르지오SKVIEW,85.0,8층,93000,3617.3
2026.05.14,망포동,영통롯데캐슬엘클래스2단지,85.0,1층,78000,3033.2
2026.05.14,영통동,풍림,84.8,17층,60000,2337.3
2026.05.14,망포동,영통아이파크캐슬2단지,84.7,2층,90000,3512.2
2026.05.14,영통동,신나무실풍림,84.9,1층,75500,2939.1
2026.05.14,영통동,영통아이파크,85.0,14층,45500,1770.0
2026.05.14,망포동,영통아이파크캐슬2단지,84.7,5층,97000,3785.4
2026.05.13,망포동,극동의푸른별,84.9,2층,45300,1763.7
2026.05.13,망포동,동수원자이2차,84.9,7층,71000,2762.6
2026.05.13,영통동,태영,84.9,4층,69000,2685.7
2026.05.13,망포동,방죽마을영통뜨란채,84.7,11층,51000,1990.5
2026.05.13,영통동,청명센트레빌,84.9,6층,62500,2431.7
2026.05.12,영통동,태영,84.9,15층,61000,2375.2
2026.05.12,영통동,벽산(1053-2),85.0,14층,55000,2139.5
2026.05.12,영통동,신나무실동보,84.9,11층,70000,2725.0
2026.05.11,망포동,방죽마을영통뜨란채,84.7,3층,55500,2165.1
2026.05.11,망포동,힐스테이트영통,84.5,5층,127500,4985.0
2026.05.11,망포동,영통롯데캐슬엘클래스2단지,85.0,15층,81500,3169.4
2026.05.11,망포동,늘푸른벽산,84.9,11층,52000,2023.7
2026.05.11,망포동,동수원자이1차,85.0,2층,60000,2333.8
2026.05.11,영통동,영통3풍림아이원,84.9,6층,54400,2118.3
2026.05.11,망포동,방죽마을영통뜨란채,84.7,5층,49800,1943.7
2026.05.11,매교동,힐스테이트푸르지오수원,84.9,12층,91000,3542.0
2026.05.08,영통동,신나무실극동,84.9,11층,86000,3347.8
2026.05.08,영통동,신나무실신명,84.9,12층,67800,2639.3
2026.05.08,망포동,삼정라츠,84.9,8층,46500,1811.1
2026.05.08,망포동,힐스테이트영통,84.5,7층,130000,5082.8
2026.05.08,망포동,영통롯데캐슬엘클래스2단지,85.0,13층,82500,3208.2
2026.05.07,영통동,청명센트레빌,84.9,4층,61000,2373.3
2026.05.07,영통동,영통에듀파크(331동~337동),85.0,13층,85000,3306.6
2026.05.07,망포동,힐스테이트영통,84.5,8층,119000,4652.7
2026.05.07,영통동,삼성,84.9,13층,70000,2724.0
2026.05.06,망포동,힐스테이트영통,84.5,13층,117000,4574.5
2026.05.06,망포동,망포마을쌍용1차,84.9,17층,69700,2714.3
2026.05.06,망포동,영통롯데캐슬엘클래스2단지,85.0,4층,81700,3177.3
2026.05.05,영통동,건영1차,85.0,5층,78000,3033.2
2026.05.05,영통동,영통3풍림아이원,84.9,16층,52800,2056.0
2026.05.05,영통동,영통에듀파크(331동~337동),85.0,2층,81800,3182.1
